,,avg_waiting_time_sec,avg_waiting_time_sec,passengers_served,passengers_served,passengers_left_behind,passengers_left_behind,avg_occupancy_rate,avg_train_delay_sec,delay_propagation_count,failed_trains,total_system_cost
,,mean,std,mean,sum,mean,sum,mean,mean,mean,sum,mean
config_name,scenario_name,,,,,,,,,,,
3-car / 1.5 min,"CASCADING
(Failures + Delays)",23.77,31.68,180.0,18000,1620.0,162000,0.02,0.0,0.0,366,3364.52
3-car / 1.5 min,"DISRUPTION
(Delays + Surge)",16.9,33.01,150.0,15000,2350.0,235000,0.01,0.0,0.0,194,4789.47
3-car / 1.5 min,"NORMAL
(Moderate, Typical)",12.19,21.67,139.97,13997,782.0,78200,0.01,0.0,0.0,78,1629.44
3-car / 1.5 min,"OFF-PEAK
(Low, Stable)",35.71,30.62,157.85,15785,89.59,8959,0.01,0.0,0.0,41,234.49
3-car / 1.5 min,"PEAK
(High, Busy)",16.59,27.23,144.0,14400,1776.0,177600,0.01,0.0,0.0,99,3639.53
3-car / 1.5 min,"SURGE
(Very High)",13.52,21.37,156.0,15600,2964.0,296400,0.01,0.0,0.0,125,6000.3
3-car / 2.0 min,"CASCADING
(Failures + Delays)",19.32,31.41,159.0,15900,1431.0,143100,0.02,0.0,0.0,255,2962.82
3-car / 2.0 min,"DISRUPTION
(Delays + Surge)",20.19,40.29,150.0,15000,2350.0,235000,0.02,0.0,0.0,174,4804.85
3-car / 2.0 min,"NORMAL
(Moderate, Typical)",9.27,16.1,137.97,13797,765.0,76500,0.02,0.0,0.0,59,1579.78
3-car / 2.0 min,"OFF-PEAK
(Low, Stable)",54.54,40.04,157.43,15743,95.75,9575,0.02,0.0,0.0,31,267.94
3-car / 2.0 min,"PEAK
(High, Busy)",12.41,20.45,153.0,15300,1887.0,188700,0.02,0.0,0.0,71,3839.54
3-car / 2.0 min,"SURGE
(Very High)",15.55,31.42,138.0,13800,2622.0,262200,0.02,0.0,0.0,89,5325.33
3-car / 2.5 min,"CASCADING
(Failures + Delays)",32.84,59.18,174.0,17400,1566.0,156600,0.03,0.0,0.0,220,3299.66
3-car / 2.5 min,"DISRUPTION
(Delays + Surge)",15.74,35.4,132.0,13200,2068.0,206800,0.02,0.0,0.0,123,4217.8
3-car / 2.5 min,"NORMAL
(Moderate, Typical)",17.4,31.51,135.13,13513,765.0,76500,0.02,0.0,0.0,56,1619.84
3-car / 2.5 min,"OFF-PEAK
(Low, Stable)",72.11,53.51,144.93,14493,85.81,8581,0.02,0.0,0.0,21,245.01
3-car / 2.5 min,"PEAK
(High, Busy)",11.19,15.86,156.0,15600,1924.0,192400,0.02,0.0,0.0,55,3906.75
3-car / 2.5 min,"SURGE
(Very High)",16.95,29.47,147.0,14700,2793.0,279300,0.02,0.0,0.0,84,5673.7
6-car / 1.75 min,"CASCADING
(Failures + Delays)",19.52,33.93,305.67,30567,1200.0,120000,0.02,0.0,0.0,289,2601.63
6-car / 1.75 min,"DISRUPTION
(Delays + Surge)",16.41,32.75,306.4,30640,2244.0,224400,0.02,0.0,0.0,204,4658.18
